kernel,baseline_cycles,final_best_cycles,roofline_cycles_corrected,ratio_final_to_roofline,verdict,final_run_id,final_iter
llama-attn-pv-int8,22856,4814,4096,1.17529296875,TERMINAL,20260908-202513-620b,3
llama-attn-scores-int8,51280,8233,6144,1.3400065104166667,TERMINAL,20260908-025850-2356,2
llama-layer-fused-n1,206304,179033,140680,1.272625817458061,ACTIVE,20260916-195958-36b4,4
llama-q8-gemm,146737,137246,131072,1.0471038818359375,SOLVED,20260909-200556-5de3,2
llama-q8-gemv-gemmini-lmhead,740101,634507,524288,1.210226058959961,SOLVED,20260909-200541-dae1,4
llama-q8-gemv-gemmini-n1,150339,132424,131072,1.01031494140625,SOLVED,20260908-025820-f7c4,7
llama-q8-gemv-gemmini-n16,168367,142458,131072,1.0868682861328125,TERMINAL,20260911-065653-8115,2
llama-silu-mul,361260,31024,30720,1.0098958333333334,TERMINAL,20260908-202528-f504,4
llama-softmax,21906,1555,1472,1.0563858695652173,TERMINAL,20260908-202543-fc79,2
